epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,663.261,1.09998,1.92949,1.22783,0.73379,0.69114,0.73548,0.51693,1.07395,1.19013,1.21597,0.000368987,0.000368987,0.000368987
2,776.561,0.99531,1.036,1.1475,0.89632,0.66575,0.73925,0.50302,1.0746,1.00412,1.23205,0.000702724,0.000702724,0.000702724
3,887.875,0.97364,0.92058,1.13863,0.8212,0.73356,0.79642,0.56669,1.03062,0.85507,1.18206,0.000999798,0.000999798,0.000999798
4,999.682,0.95403,0.8349,1.12472,0.78857,0.759,0.79627,0.58456,0.99323,0.76288,1.15865,0.000946016,0.000946016,0.000946016
5,1111.68,0.90346,0.74219,1.10195,0.79995,0.79369,0.85332,0.62284,0.968,0.70553,1.1423,0.000891022,0.000891022,0.000891022
6,1223.54,0.87942,0.68631,1.08431,0.77064,0.78615,0.82079,0.61411,0.93261,0.65802,1.11483,0.000836027,0.000836027,0.000836027
7,1334.04,0.85267,0.64438,1.07139,0.74893,0.79594,0.81453,0.61486,0.91474,0.68974,1.11568,0.000781033,0.000781033,0.000781033
8,1444.77,0.83432,0.61588,1.05987,0.82664,0.79423,0.83212,0.63284,0.89423,0.62777,1.09783,0.000726038,0.000726038,0.000726038
9,1557.36,0.80892,0.58595,1.04703,0.86123,0.83783,0.87393,0.65394,0.89351,0.57698,1.09004,0.000671044,0.000671044,0.000671044
10,1669.47,0.79886,0.5703,1.0448,0.90549,0.83155,0.89303,0.67186,0.86509,0.54997,1.07502,0.000616049,0.000616049,0.000616049
11,1778.94,0.77645,0.50224,1.03839,0.87156,0.8278,0.88762,0.68141,0.86087,0.54995,1.06591,0.000561055,0.000561055,0.000561055
12,1886.6,0.74653,0.46395,1.01395,0.89971,0.83559,0.88893,0.6912,0.84107,0.52884,1.0636,0.00050606,0.00050606,0.00050606
13,1993.2,0.71953,0.4388,0.99957,0.891,0.85822,0.92503,0.72188,0.82022,0.49258,1.04244,0.000451066,0.000451066,0.000451066
14,2098.91,0.70477,0.42207,0.98699,0.90349,0.84577,0.89849,0.70403,0.81925,0.4919,1.03535,0.000396071,0.000396071,0.000396071
15,2206.37,0.69086,0.40987,0.98083,0.8942,0.84799,0.90295,0.71299,0.81385,0.48879,1.03519,0.000341077,0.000341077,0.000341077
16,2317.76,0.67024,0.38974,0.96928,0.89884,0.89282,0.91899,0.72919,0.78541,0.46846,1.01642,0.000286083,0.000286083,0.000286083
17,2425.72,0.65145,0.37572,0.95754,0.90453,0.88223,0.91281,0.73862,0.75992,0.44902,1.00221,0.000231088,0.000231088,0.000231088
18,2534.61,0.63485,0.36178,0.94701,0.93169,0.87244,0.9304,0.73751,0.75272,0.44527,0.99768,0.000176094,0.000176094,0.000176094
19,2642.52,0.61606,0.34709,0.9375,0.92622,0.87984,0.92668,0.74159,0.7443,0.43961,0.99472,0.000121099,0.000121099,0.000121099
20,2752.47,0.60347,0.33804,0.93204,0.90357,0.89472,0.92817,0.74865,0.73879,0.42826,0.99254,6.61045e-05,6.61045e-05,6.61045e-05
